f_peak_mhz,f_center_mhz,f_lo_mhz,f_hi_mhz,width_khz,obw_khz,peak_dbfs_per_hz,floor_dbfs_per_hz,snr_db,channel_power_dbfs,occupancy_max,occupancy_mean,band,service,category,fm_channel_mhz,fm_offset_khz,flags
88.700090,88.699996,88.600000,88.800000,200.000,180.740,-62.84,-107.61,44.77,-18.59,1.00,0.97,FM,"FM broadcast, Band II, 100 kHz raster",broadcast,88.700000,-0.004,
91.600000,91.599910,91.500000,91.700000,200.000,180.798,-69.05,-107.73,38.67,-24.71,1.00,0.97,FM,"FM broadcast, Band II, 100 kHz raster",broadcast,,,
94.700097,94.700200,94.600000,94.800000,200.000,178.114,-56.90,-107.87,50.97,-12.67,1.00,0.97,FM,"FM broadcast, Band II, 100 kHz raster",broadcast,94.700000,0.200,
98.399790,98.400087,98.300000,98.500000,200.000,179.474,-72.97,-108.04,35.06,-28.75,1.00,1.00,FM,"FM broadcast, Band II, 100 kHz raster",broadcast,,,
100.300497,100.300497,100.200000,100.400000,200.000,178.827,-54.41,-108.11,53.70,-10.51,1.00,1.00,FM,"FM broadcast, Band II, 100 kHz raster",broadcast,100.300000,0.497,
103.700147,103.700126,103.600000,103.800000,200.000,179.477,-64.92,-108.24,43.33,-20.70,1.00,0.97,FM,"FM broadcast, Band II, 100 kHz raster",broadcast,103.700000,0.126,
107.099957,107.100021,107.000000,107.200000,200.000,179.315,-70.76,-108.35,37.59,-26.49,1.00,0.98,FM,"FM broadcast, Band II, 100 kHz raster",broadcast,107.100000,0.021,
124.155000,124.150268,124.140000,124.160000,20.000,9.905,-71.39,-108.94,37.55,-28.60,0.17,0.17,Airband,"Aeronautical voice, AM, 8.33 kHz channels",aeronautical,,,
137.616951,137.619868,137.600000,137.640000,40.000,29.785,-90.54,-109.33,18.78,-44.98,0.17,0.17,Weather sat,"NOAA APT and Meteor-M downlink, Orbcomm",satellite,,,
144.005000,144.000092,143.990000,144.010000,20.000,9.902,-80.04,-109.51,29.47,-37.12,0.83,0.83,2 m,Amateur 2 m,amateur,,,"possible reference spur, 5 x 28.8 MHz"
161.965000,161.974948,161.960000,161.990000,30.000,19.851,-88.89,-109.91,21.02,-44.25,1.00,1.00,AIS,AIS 161.975 and 162.025 MHz,maritime,,,
178.023708,178.351950,177.580000,179.130000,1550.000,1525.595,-93.79,-110.28,16.49,-32.77,1.00,0.98,DAB,"Band III, DAB+ blocks 5A to 12D, 1.536 MHz wide",broadcast,,,
192.295339,192.349592,191.580000,193.130000,1550.000,1524.777,-95.77,-110.56,14.79,-34.78,1.00,0.98,DAB,"Band III, DAB+ blocks 5A to 12D, 1.536 MHz wide",broadcast,,,
200.600330,200.599997,200.500000,200.700000,200.000,178.411,-81.47,-110.72,29.25,-37.44,1.00,0.95,DAB,"Band III, DAB+ blocks 5A to 12D, 1.536 MHz wide",broadcast,,,possible harmonic 2 of 100.300 MHz
227.594021,227.357145,226.590000,228.130000,1540.000,1521.788,-96.88,-111.11,14.23,-35.79,1.00,0.98,DAB,"Band III, DAB+ blocks 5A to 12D, 1.536 MHz wide",broadcast,,,
345.595000,345.599829,345.590000,345.610000,20.000,9.896,-83.51,-112.07,28.56,-40.65,0.83,0.83,UHF mil,Military aeronautical,aeronautical,,,"possible reference spur, 12 x 28.8 MHz"
390.195697,390.200049,390.180000,390.220000,40.000,29.799,-86.60,-112.21,25.61,-40.88,0.67,0.67,TETRA BOS,"TETRA for emergency services, 25 kHz carriers",land_mobile,,,
412.615000,412.600159,412.580000,412.620000,40.000,29.804,-91.18,-112.26,21.08,-45.28,0.17,0.17,TETRA,TETRA and trunked PMR,land_mobile,,,
487.615163,490.002526,486.190000,493.810000,7620.000,7533.526,-96.71,-112.29,15.57,-28.86,1.00,0.98,DVB-T,"UHF television, channels 21 to 48, 8 MHz raster",broadcast,,,
526.825066,529.995830,526.190000,533.810000,7620.000,7531.700,-94.85,-112.27,17.41,-26.89,1.00,0.98,DVB-T,"UHF television, channels 21 to 48, 8 MHz raster",broadcast,,,
629.281764,625.998579,622.190000,629.810000,7620.000,7532.811,-97.66,-112.13,14.47,-29.87,1.00,0.98,DVB-T,"UHF television, channels 21 to 48, 8 MHz raster",broadcast,,,
809.283674,805.998002,800.990000,811.010000,10020.000,9904.500,-98.64,-111.67,13.03,-29.68,1.00,0.98,LTE800 DL,3GPP n20 downlink,mobile,,,
900.333206,900.387310,900.290000,900.480000,190.000,178.996,-91.32,-111.41,20.10,-39.37,0.17,0.17,GSM900 UL,"GSM, UMTS and LTE900 uplink, handsets transmit here",mobile,,,
942.657283,942.601267,942.490000,942.710000,220.000,207.729,-84.34,-111.26,26.92,-31.64,1.00,0.99,GSM900 DL,"GSM, UMTS and LTE900 downlink, base stations",mobile,,,
947.152893,947.200830,947.090000,947.310000,220.000,207.977,-87.40,-111.25,23.85,-34.55,1.00,0.97,GSM900 DL,"GSM, UMTS and LTE900 downlink, base stations",mobile,,,
1090.346856,1090.140964,1089.280000,1091.000000,1720.000,1700.962,-94.16,-110.69,16.53,-32.85,0.17,0.16,ADS-B,Aircraft transponders and ADS-B at 1090 MHz,aeronautical,,,
